Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2023-06-26 05:06:01.866774,Gánovce Meteo. st,x,x,23,x,x,4,7,x,x
2023-06-26 05:06:01.866774,Chopok EMEP,x,x,112,x,x,3,3,x,x
2023-06-26 05:06:01.866774,Bystričany Rozvodňa SSE,17,12,x,33,x,x,x,x,x
2023-06-26 05:06:01.866774,Bratislava Trnavské Mýto,8,7,x,x,173,12,14,1.4,x
2023-06-26 05:06:01.866774,Bratislava Púchovská,11,4,x,5,154,7,9,0.7,x
2023-06-26 05:06:01.866774,Bratislava Padlých hrdinov mobilná AMS,17,3,x,x,154,19,21,x,x
2023-06-26 05:06:01.866774,Bratislava Mamateyova,8,8,41,6,x,21,22,x,x
2023-06-26 05:06:01.866774,Bratislava Kamenné nám.,10,1,x,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Bratislava Jeséniova,9,5,94,1,x,PDL,PDL,x,x
2023-06-26 05:06:01.866774,Bardejov Pod Vinbargom,19,14,49,x,x,3,2,x,x
2023-06-26 05:06:01.866774,Banská Bystrica Štefánikovo nábrežie,20,12,x,7,*,6,10,0.5,x
2023-06-26 05:06:01.866774,Banská Bystrica Zelená,15,12,*,x,x,5,6,x,x
2023-06-26 04:06:06.913290,Žilina Obežná,14,8,30,x,440,5,6,x,x
2023-06-26 04:06:06.913290,Žiar nad Hronom Jilemnického,13,12,x,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Žarnovica Dolná,13,*,x,x,x,3,5,x,x
2023-06-26 04:06:06.913290,Zvolen J. Alexyho,14,11,x,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Vranov nad Top. M. R. Štefánika,17,13,x,4,x,x,x,x,x
2023-06-26 04:06:06.913290,Veľká Ida Letná,21,13,x,x,319,x,x,x,x
2023-06-26 04:06:06.913290,Trnava Kollárova,13,6,x,x,459,9,12,0.2,x
2023-06-26 04:06:06.913290,Trenčín Hasičská,13,9,x,4,186,12,14,0.1,x
2023-06-26 04:06:06.913290,Trebišov T. G. Masaryka,20,10,56,x,x,2,5,x,x
